2011,2012,2013,2014
16427247,15517622,17919580,22033462
Germany,Other_european_countries,U.K.,France,Russia
9076042,7614749,7340986,4742139,3915584
aeroporikws,sidirodromikws,thalassiws,odikws
49023722,10659,3246623,13050246
1_11,2_11,3_11,4_11,1_12,2_12,3_12,4_12,1_13,2_13,3_13,4_13,1_14,2_14,3_14,4_14
1108387,4195768,8925699,2197393,978559,3849245,8655186,2034632,1023354,4397477,10113076,2385673,1186900,5077136,12722925,3046501
